Username,Percorso_Foto,Pred_Emozione_Foto,Data,ContenutoPost,Pred_Emozione_Post
zelenskiy_official,instagram\zelenskiy_official\post_0\2022-07-24_06-47-34_UTC_5.jpg,3,2022-07-24,"Five months After eight years
The war did not break and will not break Ukraine
It did not stop life in our country and will not stop it
And it will definitely not make us hostages of the horror that the invaders brought to our country
We will not obey We will endure We will protect what�s ours We will win
",1
zelenskiy_official,instagram\zelenskiy_official\post_0\2022-07-24_06-47-34_UTC_6.jpg,0,2022-07-24,"Five months After eight years
The war did not break and will not break Ukraine
It did not stop life in our country and will not stop it
And it will definitely not make us hostages of the horror that the invaders brought to our country
We will not obey We will endure We will protect what�s ours We will win
",1
zelenskiy_official,instagram\zelenskiy_official\post_0\2022-07-24_06-47-34_UTC_7.jpg,3,2022-07-24,"Five months After eight years
The war did not break and will not break Ukraine
It did not stop life in our country and will not stop it
And it will definitely not make us hostages of the horror that the invaders brought to our country
We will not obey We will endure We will protect what�s ours We will win
",1
zelenskiy_official,instagram\zelenskiy_official\post_1\2022-07-21_16-44-48_UTC.jpg,1,2022-07-21,"��
We keep strengthening the anti-war coalition in Latin America I had the first ever phone conversation with President of Costa Rica Rodrigo Chaves We appreciate support for Ukraine in international organizations, particularly in the UN We�re also grateful for the introduction of sanctions on the aggressor and countering Russian propaganda
",0
zelenskiy_official,instagram\zelenskiy_official\post_4\2022-07-17_10-13-13_UTC_8.jpg,3,2022-07-17,"��
This is a war in Ukraine that Russia started, that Russia continues and that Russia does not want to end Ukraine defends its own land, its sovereignty, its territory Ukraine is fighting for peace This is a cruel paradox of the XXI century, and for us this is reality
",1
zelenskiy_official,instagram\zelenskiy_official\post_5\2022-07-17_10-13-13_UTC_8.jpg,3,2022-07-17,"��
This is a war in Ukraine that Russia started, that Russia continues and that Russia does not want to end Ukraine defends its own land, its sovereignty, its territory Ukraine is fighting for peace This is a cruel paradox of the XXI century, and for us this is reality
",1
zelenskiy_official,instagram\zelenskiy_official\post_6\2022-07-11_10-01-59_UTC_1.jpg,3,2022-07-11,"The retreat of the occupiers from Ukrainian land is inevitable, as is their punishment But we have to hold on, we have to fight together on all fronts now � on the political, information and economic fronts, without showing weakness anywhere We can withstand this war only together � absolutely everyone, every Ukrainian man, every Ukrainian woman
",0
zelenskiy_official,instagram\zelenskiy_official\post_7\2022-07-10_08-55-23_UTC.jpg,1,2022-07-10,"Our life has changed. The world has changed, Ukraine and each of us. Yes, the war continues. But we need to think about restoring the physical and moral health of our people today.

On July 23, @olenazelenska_official will convene the second Summit of First Ladies and Gentlemen. It will take place in Ukraine. Some of the guests will be present in person, some will join in the telebridge format.

The main theme of the event will be man and the role of human capital in the development of the state. This is something without which it is impossible to successfully restore Ukraine. People are our greatest value.",0
zelenskiy_official,instagram\zelenskiy_official\post_8\2022-07-09_12-21-39_UTC_3.jpg,1,2022-07-09,"Ukraine appreciates the attention and support of French senators. Pleased to meet the President of the French Senate, G�rard Larchet @glarchersenat, and the delegation of the upper house of the French Parliament. I am grateful for France's support of Ukrainian sovereignty and territorial integrity, as well as for important help to our army and people in this difficult time.",0
zelenskiy_official,instagram\zelenskiy_official\post_8\2022-07-09_12-21-39_UTC_4.jpg,1,2022-07-09,"Ukraine appreciates the attention and support of French senators. Pleased to meet the President of the French Senate, G�rard Larchet @glarchersenat, and the delegation of the upper house of the French Parliament. I am grateful for France's support of Ukrainian sovereignty and territorial integrity, as well as for important help to our army and people in this difficult time.",0
zelenskiy_official,instagram\zelenskiy_official\post_9\2022-07-09_08-27-04_UTC_6.jpg,1,2022-07-09,"The eyes of all aggressive political movements and regimes in the world are now focused on what Russia is doing against us, against Ukraine Will the world be able to bring real war criminals to justice If so, it will be a strong support for peace on earth in the future If not, if hundreds of treaties and conventions violated by Russia remain mere pieces of paper, then humanity will have to deal with hundreds of other aggressions
",0
zelenskiy_official,instagram\zelenskiy_official\post_10\2022-07-08_16-03-46_UTC_1.jpg,4,2022-07-08,"Logistics center for the assembly of humanitarian aid kits in Dnipro. The work in it is organized very clearly and harmoniously.

Since the beginning of the war, Dnipropetrovsk has been actively supporting other regions. During this time, almost 1.5 million food kits were sent to the six regions most affected by Russian aggression.",0
zelenskiy_official,instagram\zelenskiy_official\post_10\2022-07-08_16-03-46_UTC_2.jpg,4,2022-07-08,"Logistics center for the assembly of humanitarian aid kits in Dnipro. The work in it is organized very clearly and harmoniously.

Since the beginning of the war, Dnipropetrovsk has been actively supporting other regions. During this time, almost 1.5 million food kits were sent to the six regions most affected by Russian aggression.",0
zelenskiy_official,instagram\zelenskiy_official\post_10\2022-07-08_16-03-46_UTC_3.jpg,3,2022-07-08,"Logistics center for the assembly of humanitarian aid kits in Dnipro. The work in it is organized very clearly and harmoniously.

Since the beginning of the war, Dnipropetrovsk has been actively supporting other regions. During this time, almost 1.5 million food kits were sent to the six regions most affected by Russian aggression.",0
zelenskiy_official,instagram\zelenskiy_official\post_10\2022-07-08_16-03-46_UTC_4.jpg,3,2022-07-08,"Logistics center for the assembly of humanitarian aid kits in Dnipro. The work in it is organized very clearly and harmoniously.

Since the beginning of the war, Dnipropetrovsk has been actively supporting other regions. During this time, almost 1.5 million food kits were sent to the six regions most affected by Russian aggression.",0
zelenskiy_official,instagram\zelenskiy_official\post_10\2022-07-08_16-03-46_UTC_5.jpg,2,2022-07-08,"Logistics center for the assembly of humanitarian aid kits in Dnipro. The work in it is organized very clearly and harmoniously.

Since the beginning of the war, Dnipropetrovsk has been actively supporting other regions. During this time, almost 1.5 million food kits were sent to the six regions most affected by Russian aggression.",0
zelenskiy_official,instagram\zelenskiy_official\post_10\2022-07-08_16-03-46_UTC_6.jpg,2,2022-07-08,"Logistics center for the assembly of humanitarian aid kits in Dnipro. The work in it is organized very clearly and harmoniously.

Since the beginning of the war, Dnipropetrovsk has been actively supporting other regions. During this time, almost 1.5 million food kits were sent to the six regions most affected by Russian aggression.",0
